,pm10,CO,SO2,NO2,TOPEX/Poseidon
0,17.25675676,0.78139369,8.529898174,16.60122275,-37.475992432660405
1,33.0,0.87735681,9.271101721,17.0174365,-58.66127700808137
2,37.0,0.923778603,5.949054802,16.88193331,-79.26854637509948
3,31.0,0.928921379,5.638381268,20.78154906,-71.82759151318875
4,14.01388889,0.569160033,3.080950385,9.053154235,-61.47603969753235
5,39.66197183,0.905550417,5.445694061,16.71455141,-36.13706394510524
6,36.0,0.85057365,5.4381403,12.81035871,-0.8515939754430537
7,45.0,0.905877194,5.3802594,11.65637925,18.28
8,18.0,0.994955403,4.9709683,13.29785981,40.02511477996715
9,10.5,0.688762483,3.623617276,11.41758631,35.77365909768331
10,22.5,1.188287617,7.813250405,16.74531571,28.563887885860677
11,13.0,1.010760867,14.19493903,21.25636413,-5.111930684596637
12,19.12189804,0.965016917,10.73524667,18.61358847,-45.68403455442218
13,22.0,0.755262226,9.141001615,15.17248856,-56.57889329081673
14,25.0,1.062857047,6.591173895,23.27659461,-63.24016194926357
15,24.0,0.776557355,4.131335184,11.31001142,-58.887239745728834
16,9.0,0.838895766,4.064917447,10.8906885,-46.80642033327914
17,36.0,0.720489625,3.508188934,13.618755,-14.996449162406272
18,23.86153846,0.759253774,4.126608679,9.326747842,5.81821829446919
19,35.0,0.942453625,4.638481382,14.5014648,30.481152102260648
20,29.0,0.975486563,4.298768105,12.78027978,52.33552265805357
21,12.0,1.114971156,5.818841947,17.29561752,32.88
22,14.0,1.077300328,7.189947671,16.943037,32.08
23,18.0,1.52110681,9.532827987,23.33277252,-5.254442017151753
24,24.0,0.923513969,10.47763127,21.83797718,-36.59771753524606
25,26.5,1.185663403,7.499486225,21.51055209,-21.804015860322682
26,24.5,0.847942219,5.61231865,13.5703681,-50.06168741443636
27,16.0,0.889571613,2.75933865,12.12383068,-48.810778544880996
28,23.0,0.744219672,4.496168423,14.33420813,-32.200414064057995
29,24.0,0.869310094,3.396793163,13.2407973,-27.8968608183281
30,25.5,0.758720517,3.771650961,15.6371789,7.291741410300561
31,28.0,0.81029315,4.782827707,14.19284168,45.81943975191875
32,15.52380952,0.788461258,4.561301551,16.39601205,61.38867140800957
33,29.5,0.8828622,4.884938562,17.4188479,42.59728714027119
34,16.0,0.950566048,8.219992146,19.4816698,27.607227863001075
35,28.0,1.302688129,15.3461123,27.11620367,-12.42
36,16.33333333,0.982746984,7.797526563,15.97018537,-40.07358653039963
37,14.0,0.836212613,7.36016622,11.60154047,-43.88163547707562
38,12.0,0.685536393,5.708834923,15.95601856,-71.1305649453746
39,9.5,0.625557656,3.000871675,9.03256045,-53.44261389640255
40,21.0,0.740328547,4.002722225,13.90947448,-38.87707514682863
41,31.0,0.62873475,2.865522795,8.50363235,-24.808336513020045
42,20.5,0.619263594,2.512757638,8.905778895,13.256353326375022
43,22.22413793,0.786195094,3.382809575,14.55084858,45.80578330045881
44,18.01694915,0.731086371,4.515575359,12.40341848,55.22444637133993
45,18.5,0.921953695,3.913633412,14.42978532,55.36473577507457
46,20.5,0.862273583,8.207085474,16.28380771,20.328066492256394
47,16.5,0.942406177,5.939009731,16.13008879,0.31929275573290195
48,18.0,1.057083129,8.251168846,21.6909357,-20.32
49,26.5,0.815671871,5.733897474,14.28743333,-43.93835016065827
50,15.0,0.60029779,3.670371297,7.491675,-62.32829152703812
51,27.5,0.737079532,4.179243461,15.03242133,-44.42
52,13.33333333,0.714416774,2.785161703,11.1336009,-35.637303113359486
53,22.5,0.696079034,3.9791644,12.27421127,-16.896064235453384
54,18.5,0.767050482,4.744503068,15.85511739,5.523223943193433
55,37.0,0.632272232,3.126324686,9.54577813,43.55533556225998
56,19.66666667,0.721130103,3.843854972,12.13604171,51.447261195530096
57,21.58064516,1.114929603,4.914360264,17.82016383,49.06923327454642
58,13.94827586,0.860320067,5.485614347,12.71044145,13.969380181408177
59,11.0,0.808318883,5.048960071,10.3579775,3.0968571230127657
60,15.66666667,0.800798717,5.991941439,14.43767282,-35.94561458601626
61,19.36538462,0.773032172,4.508105167,16.15410382,-34.69168614155777
62,24.0,0.554063567,4.833695403,11.60529433,-43.51244366850872
63,22.33333333,0.641166638,5.103959409,16.11857705,-46.0467859217318
64,22.66666667,0.64932563,3.942457438,9.696262917,-38.02580295075841
65,42.0,0.682521815,3.412378882,12.99151862,-2.02
66,24.0,0.750421397,2.9591123,11.70087777,30.15161894729432
67,34.66666667,0.716218034,4.787604906,16.2894217,56.90934594993284
68,18.25,0.616619571,3.430357875,15.12317905,55.169428768873495
69,33.5,1.010099643,5.413862606,16.1164321,74.18018083362256
70,33.0,1.042874333,5.088005047,19.14762296,33.18862089543628
71,20.16326531,0.92177705,6.819772212,18.10093957,29.246524513991403
72,16.5,0.548299148,7.931338468,12.71934017,3.5602142193136608
73,21.5,0.782686339,4.13168047,15.12761855,-23.974306344421517
74,26.2195122,0.581897696,5.511833397,18.03329225,-57.67387325678523
75,13.6097561,0.629435893,3.650299348,12.91939029,-33.89719632477515
76,20.66666667,0.565740759,3.967707364,12.14614628,-18.572207381398464
77,19.5,0.641926167,3.3867653,11.03280652,-2.779536351357458
78,41.5,0.644690224,3.881895121,11.57820046,35.349474598936595
79,24.0,0.626196207,3.435057257,11.9636122,59.59579641418341
80,14.6,0.620882304,3.470969,11.78335561,78.2759470551649
81,15.0,0.697043032,3.827116712,16.71717172,58.9791166357892
82,17.0,0.644268323,4.333811561,11.32037622,44.78329263820779
83,20.33333333,1.301750033,6.810520576,22.30921058,27.931330902209286
84,17.19512195,0.85675815,9.055611156,19.47703752,1.7093975697914374
85,26.66666667,0.694997567,5.701979424,15.49579065,-26.846141464815013
86,19.02325581,0.592942016,4.4942545,14.8997999,-37.944629314625665
87,21.65116279,0.466041683,2.652856515,10.94657836,-32.25779697340281
88,20.2,0.545039483,3.779704234,11.80986135,-16.086896001333585
89,20.33333333,0.64105081,3.283531109,13.17970329,0.5299109057408371
90,20.33333333,0.438863121,2.763200781,6.41113025,36.29225012895331
91,20.66666667,0.586326143,2.833747953,10.61615318,47.18
92,22.0,0.641399862,5.430537609,12.95973678,70.68
93,36.66666667,0.828233232,4.477001141,13.1484423,72.7879086631321
94,23.0,0.668821862,4.206421871,16.06768305,38.60985941248273
95,12.66666667,0.536726893,6.75103905,12.51406924,11.980834121246454
96,15.78378378,0.859923914,4.857411371,18.36519513,-9.827382938510898
97,23.75,0.55129575,4.206294219,11.99753322,-40.442574712585575
98,16.75,0.579166696,2.55519845,12.271963,-65.9741391015664
99,28.5,0.500149389,3.746109655,17.25521788,-49.29567292461777
100,21.0952381,0.601947315,2.6782935,11.77521036,-45.19676369368463
101,21.44736842,0.461943,2.842485107,9.207602292,-10.707956089366027
102,15.83333333,0.546484768,3.808384293,12.31939158,21.771563505580676
103,21.5,0.531596466,2.1914717,9.941417815,53.39961391558783
104,19.0,0.444316293,1.925509048,6.761253346,61.750871350914565
105,25.5,0.614153931,4.077192677,16.85305733,77.20331376901534
106,18.0,0.609069731,1.912485534,14.20246858,28.808084254873634
107,20.25,0.766154538,5.9084857,15.74621209,11.98
108,14.0,0.539890778,3.001658776,11.08039482,-1.0162867666026982
109,14.33333333,0.509754574,4.913554983,14.42503835,-14.12
110,16.75,0.4961855,2.867455133,13.20488982,-63.97136078621329
111,28.0,0.573989462,3.921294867,12.661695,-33.49064850222833
112,13.75,0.448065464,2.320081,10.07810996,-27.857330402014544
113,26.66666667,0.481407981,2.321693259,10.81599646,-35.368449463967636
114,28.75609756,0.453295712,3.006801742,12.70386062,29.94139086812003
115,10.0,0.478395056,1.76149821,7.832914792,60.685232481941284
116,15.0,0.547518607,2.003712767,13.35562364,57.47703399152196
117,15.4,0.605522154,3.871563741,14.542729,51.62544081121281
118,19.2,0.540396288,4.338435583,18.34766135,34.73064937057161
119,20.75,0.711600944,4.921076733,21.46957296,0.10148556714741286
120,20.66666667,0.895360692,7.454476017,26.22486232,-26.22
121,16.14285714,0.586516571,5.844832552,21.8226967,-24.243069738069302
122,13.0,0.398533448,3.195166867,9.678190429,-42.12
123,18.8,0.579694268,2.880386083,12.29223126,-33.32
124,38.16666667,0.573244603,2.189369083,10.22644926,-17.554258613881633
125,41.6,0.475565983,3.046352767,12.1101047,10.954295762131123
126,18.0,0.635766917,2.689347,11.21841791,31.58
127,15.59459459,0.392824093,1.874846268,5.978303783,52.82191593204777
128,20.80555556,0.667922483,3.033469569,13.99922,69.61412933626276
129,24.42857143,0.728600433,4.06881313,19.13257582,80.34955862185969
130,12.33333333,0.486377224,3.684554638,12.6045454,22.8835711045976
131,22.33333333,0.818377233,5.098125518,18.24306838,-1.6344595624111067
132,13.14285714,0.579166638,7.62025284,12.63586962,-16.046093197617633
133,20.28571429,0.63346915,7.173517929,20.228469,-45.44163198181197
134,19.14285714,0.514224467,3.382251768,17.73507038,-42.71816363980102
135,20.85714286,0.511177179,2.171259019,10.57404617,-31.298660867327065
136,17.28571429,0.469919833,1.839084286,7.460144957,-19.822491190307403
137,18.71428571,0.482808373,2.804974346,13.32928371,-6.985983961514652
138,12.42857143,0.445833362,1.570192121,6.183959174,21.299203768557447
139,15.63636364,0.519252036,1.932598278,8.692904435,46.97995553193026
140,20.68571429,0.603019111,2.37628,11.46634405,72.09199939299118
141,17.0,0.361961792,1.768699125,8.692982421,56.134663527925014
142,17.125,0.624823942,5.814552268,19.24906881,32.06529426709585
143,17.83333333,0.588244054,4.897758643,15.2295919,17.562221944722
144,18.71428571,0.63409802,6.585739607,19.97066157,-9.630340175749014
145,10.875,0.50870884,4.338361796,17.80011779,-40.89794542301139
146,21.125,0.55048254,2.499188857,15.30594274,-38.05591952993608
147,22.57142857,0.46762124,1.414383554,10.12715595,-33.957887124316244
148,15.14285714,0.474577827,1.758086804,9.973974455,-30.0713932283392
149,17.125,0.493365056,2.548386833,9.969831957,1.6212302202829554
150,20.28571429,0.371330759,1.61458975,7.670073217,20.951545771448163
151,20.42857143,0.482026423,1.934019214,6.9782609,43.203135125286494
152,15.33333333,0.426642333,3.173031204,11.96620517,87.03704076200319
153,27.05555556,0.564870139,5.77369072,25.05793647,65.66074603676668
154,16.79166667,0.506769848,3.49670275,13.72131521,43.55042157971011
155,25.5,0.7676667,3.242266722,16.48939385,13.905239626996652
156,17.75,0.47901544,2.8025085,11.82721705,-1.748630570125859
157,19.28,0.54190412,4.272062852,13.56550555,-38.64745944764896
158,34.0,0.36166304,3.466000944,13.8074852,-41.454185149339736
159,22.4,0.31716668,2.443884833,8.634920667,-40.42853629614101
160,20.8,0.413395327,2.05284474,8.044323091,-14.79913526007262
161,21.0,0.4370606,3.601692167,8.3722825,11.880171851160704
162,52.8,0.357861154,2.55601175,7.356678571,41.351906207640184
163,10.66666667,0.448417761,2.842615231,9.613436895,64.56419911724905
164,16.2,0.454252729,1.538774852,8.705062,81.94416328592898
165,25.4,0.54167428,3.626525143,16.92820411,71.971464936333
166,20.83333333,0.3902305,2.710000089,11.2009807,42.1394222853417
167,17.58333333,0.4947246,2.997737724,9.964816895,22.49869068294474
168,21.0,0.356122417,5.418908411,15.5198931,-15.519608481673961
169,24.0,0.465723277,4.233847855,16.84991765,-34.641605384988324
170,16.4,0.425868083,2.116443569,10.28087815,-33.65755649088352
171,27.93103448,0.442607271,2.411457224,9.71437745,-48.21020732834913
172,30.33333333,0.37877044,2.857648931,8.392472,-10.325775894438296
173,11.33333333,0.342572478,1.591641293,6.899831722,4.360594377504516
174,18.66666667,0.350979813,2.069301173,8.224889529,26.837601281513624
175,27.66666667,0.37576142,2.190505707,9.388797444,54.97885588763068
176,20.2,0.31997616,2.592152155,6.345899429,86.42557268828865
177,21.8,0.428996292,3.322816196,12.60370289,62.33868650170595
178,16.0,0.428660208,4.346632466,13.37675437,47.01794113353937
179,17.16666667,0.463144562,3.411948071,11.734627,8.7
180,22.56,0.441746688,5.536146345,16.18779905,-2.1045626484808593
181,14.5,0.3955469,4.236668879,14.0795146,-28.74189477522721
182,18.375,0.35514222,1.867884966,10.70566705,-37.312693649189015
183,21.96,0.304145188,2.586934058,9.14215581,-23.424613397731097
184,17.875,0.300843042,1.347803464,5.346491158,-18.22444239601351
185,30.125,0.29583634,1.876437179,6.380246571,20.876388039029653
186,17.28571429,0.378047042,1.977753214,9.30066695,23.92555093207904
187,23.42857143,0.30225142,1.691012286,4.533730143,47.00201103017835
188,16.25,0.384724563,1.662761833,9.486628714,73.6101007179969
189,20.71428571,0.4066613,3.936537607,14.97102238,65.26172960048606
190,11.25,0.36568832,1.637736179,10.0901516,45.453249584656604
191,19.625,0.42339168,2.655746732,11.04020019,17.1143637839269
192,14.0,0.33537164,3.192997179,9.731207571,8.289980813108475
193,17.5,0.30702282,1.275794911,5.777777857,-19.755930823641418
194,18.0,0.331402146,1.287874536,8.1081851,-38.707414347064336
195,19.85714286,0.289772773,1.11771913,7.214851857,-19.482961618059313
196,16.95,0.300963079,1.350189229,7.220859889,-5.271869532137495
197,21.12,0.281632444,1.349964783,7.01526475,21.844760334530847
198,19.33333333,0.258717688,1.033122854,5.982280313,28.839913744452392
199,13.33333333,0.249181882,1.450386848,7.482347313,68.33024971383703
200,16.66666667,0.305441833,1.574941,9.341245471,69.72695837986586
201,10.5,0.286398118,0.778394386,4.56510425,78.6
202,16.8,0.496042765,1.798650714,14.26767859,42.046212802773
203,18.4,0.399645088,2.20545863,17.01594588,12.647214361272276
204,10.4,0.290207118,2.204625696,7.776776706,-31.24755266926761
205,14.2,0.338526088,2.757815739,11.90951618,-49.643106721839196
206,22.2,0.303767765,1.383935174,11.23267663,-46.700826251429035
207,18.4,0.261011938,1.499770273,9.821456611,-43.62351004726638
208,14.0,0.290629647,1.22666137,4.919277611,-28.374539127666424
209,20.8,0.222974194,1.037942521,5.846762824,-9.90454108283927
210,17.89473684,0.273520222,1.123351932,5.742646118,13.603560599281552
211,21.8,0.252024861,1.26860382,9.783263647,58.853685150804765
212,11.6,0.227401306,0.652750604,5.843609105,64.24724780162951
213,17.8,0.249361094,1.409040458,5.122053063,38.2803184757859
214,14.0,0.281893156,1.118167042,9.334422133,19.210332663506325
215,16.0,0.3771527,3.5898815,16.89474176,-9.6
216,20.0,0.287332875,2.987608292,12.24223847,-35.340967438517296
217,19.83333333,0.239168219,1.042486587,7.948651471,-29.1
218,12.16666667,0.230882031,0.729672348,8.138740889,-63.45028673677033
219,17.0,0.205191688,1.077910729,4.5383265,-43.388868478490636
220,14.16666667,0.194009313,1.277016938,6.062949471,-34.17958111838232
221,16.2,0.2314885,0.898442896,7.68277525,-1.6091768531337767
222,16.2,0.216275429,0.902333773,4.23065825,14.190942487323143
223,14.88235294,0.27466825,0.855570429,7.0393465,47.751499182108404
224,17.73684211,0.243251036,1.167050114,9.400451313,57.49036347781172
225,14.6,0.2983065,1.744950205,12.368638,64.07735433320957
226,14.33333333,0.165293393,1.2764798,7.888399313,45.51828381742001
227,20.0,0.359380643,1.005825048,11.62963659,24.984040613513386
228,19.0,0.232690346,1.211390705,11.91716219,-2.8
229,14.2,0.228498464,0.755328614,9.720523765,-39.32741891966866
230,16.5,0.21496925,0.546076818,6.433845824,-78.08501624468049
231,16.2,0.198966786,0.807928381,5.498969824,-17.984584549665414
232,16.16666667,0.224754143,0.673606056,7.34882425,-8.461064072400626
233,21.83333333,0.198745429,1.298452632,5.265442923,21.600935772365077
234,23.4,0.245309786,0.45162545,6.252593933,53.2
235,31.0625,0.259679143,1.16439519,6.250719611,86.2565830260334
236,10.2,0.228153538,0.403886381,3.877130688,94.48871928056015
237,22.16666667,0.263546143,0.8269204,8.837991118,88.97446535015756
238,20.5,0.279322654,1.530780682,11.69307017,54.877266692227515
239,19.5,0.22602975,1.131664523,9.146023588,23.188061315427845
240,9.6,0.17720525,0.640887727,5.095349688,18.002951166819628
241,16.2,0.251271393,1.2118865,9.721610813,-43.2
242,20.0,0.2280715,0.689008136,6.559611688,-29.344670638009017
243,13.5,0.232629321,0.629019478,6.4968335,-28.544630002747144
244,17.16666667,0.192887292,0.583541261,5.555825063,-29.724065167186684
245,11.33333333,0.129237875,0.469894348,3.886690063,23.989041019642954
246,16.6,0.189085346,0.559945333,5.265173882,46.77170012570093
247,13.83333333,0.230472038,0.378200479,4.725101133,78.31854952706104
248,12.83333333,0.182332385,0.526295417,6.1300516,76.19385993366856
249,17.86666667,0.199701542,0.633056543,8.3225615,95.03359814424434
250,15.26666667,0.234484,2.214086909,7.208333438,57.99768493888813
251,16.33333333,0.16925735,1.714196085,7.583378389,27.409184191497417
252,14.6,0.295953333,3.166258063,15.70553772,-2.5573322878395683
253,17.66666667,0.189832375,1.44144482,9.276090118,-15.54
254,15.5,0.18577125,0.9534122,6.163978438,-41.002758828248425
255,16.83333333,0.171945643,0.441903938,4.614068053,-23.179870552230412
256,10.83333333,0.150784214,0.53712422,3.171927316,-11.759619768957492
257,14.0,0.190939071,0.51586176,5.178329533,31.372360352694958
258,13.0,0.236375,0.81513825,7.505741118,55.24368241670582
259,23.5,0.224855786,0.529679417,2.687794611,76.96798634166439
260,9.0,0.230142107,0.65611128,7.104511563,86.02577040522677
261,15.0,0.208548429,0.89133068,9.595980438,72.43144948128297
262,13.0,0.324143036,0.83183087,7.37192125,72.71225603435154
263,13.0,0.262126615,1.089496519,10.898512,23.02981219565827
264,14.66666667,0.221432654,1.066426537,7.2184455,17.16
265,19.8,0.282844692,1.624238058,9.6622474,-2.3881361129893754
266,17.70588235,0.286955542,0.5315514,11.27568273,-15.74
267,13.30769231,0.266921308,1.113512173,7.4643018,-11.04
268,7.75,0.181723136,0.290818119,2.700932462,7.813896910997299
269,26.33333333,0.336487857,0.305046556,6.757637118,35.033868212220824
270,18.75,0.270053633,0.370299444,6.691154625,61.548908964444784
271,16.0,0.267066531,0.45315994,6.803386529,91.69599853224176
272,10.6,0.293554167,0.318928241,4.3439605,99.61763811285826
273,17.2,0.34159975,0.366684354,6.135511438,85.47341687083403
274,17.6,0.315777857,0.376305815,8.994698882,73.01736562648733
275,16.2,0.289750625,0.303494167,7.00600975,42.249789333200766
276,17.0625,0.477572375,0.706275385,11.64952344,34.20273196888796
277,15.0,0.390406867,0.544963308,11.78936336,8.12006300364642
278,19.125,0.260746143,0.363760941,5.017114941,-13.337224901468346
279,14.11111111,0.286775706,0.19373808,5.525965688,14.41674116611205
280,15.75,0.308314833,0.309719115,7.058715889,-4.5166371548205975
281,12.6,0.278605588,0.26540306,6.726986588,40.80885921107597
282,19.8,0.286994853,0.25978418,3.137145389,72.22165089936603
283,13.0,0.306116588,0.403642019,6.403119,94.31342814160266
284,14.5,0.371056031,0.503842,8.601390895,104.02927124020844
285,24.75,0.297567781,2.059766241,6.776484167,107.96
286,17.0,0.311202235,0.19454092,8.738962556,68.86
287,13.6,0.325525265,0.531445815,6.938629,53.561218175080434
288,15.15789474,0.372129,0.673716278,14.47739853,17.38449105637738
289,16.6,0.345525088,0.420626404,10.26113705,7.86
290,18.25,0.329687676,0.303539759,6.181668889,-6.953261925448636
291,19.8,0.214965528,0.285869574,2.794360842,4.200905506727035
292,14.25,0.303476625,0.412781385,6.979117222,19.412679263767718
293,15.25,0.277444875,0.324983077,4.874305714,52.559379517403436
294,16.6,0.2545464,1.12624882,8.106899941,80.79332708305967
295,20.6,0.322895571,0.280393077,6.615588235,99.75838122896039
296,19.66666667,0.271786286,0.7815699,5.250745632,113.63291541296634
297,25.66666667,0.335176233,0.62499748,11.11876385,91.87225797084989
298,21.5,0.359505933,0.59222622,12.75706871,84.1400950775367
299,17.4,0.303603821,1.070554563,7.99300835,70.59413069328639
300,18.375,0.307159571,0.697881962,9.87727025,49.26569059989413
301,21.375,0.296846143,0.427945904,11.44384358,7.711210931750642
302,16.375,0.277839808,0.77783644,6.4533912,14.619968447628107
303,18.77777778,0.245241769,0.44331338,7.061008895,-0.6597332710066037
304,14.0,0.266163917,0.2282466,6.386373222,29.773810515424188
305,9.5,0.322872667,0.341773262,7.040350895,51.15068391346584
306,15.1875,0.337612,0.230966771,6.268898941,88.0338452628734
307,17.625,0.320673,0.311590273,5.727350611,112.25283860282494
308,17.375,0.29295415,0.265746804,5.107109833,122.1971155350473
309,22.5,0.419624818,0.50133237,10.12372444,112.36115434463326
310,18.0,0.384754364,0.7114582,14.47975674,103.2295982007338
311,13.88888889,0.463689636,0.505781023,9.74591055,57.63267274225277
312,14.66666667,0.246943864,1.207503136,10.8299998,33.684756023800944
313,12.625,0.26775235,0.916524646,10.32161785,29.698419236478845
314,12.5,0.254852773,0.410838587,5.464543588,23.231841592756926
315,18.5,0.252411182,0.350851152,6.86689285,23.064911917351747
316,15.14285714,0.282299727,0.383592109,7.130478105,35.9584455227401
317,11.75,0.24290425,0.519967022,4.669747882,58.25072899757653
318,14.375,0.271382381,0.684102705,6.852323059,86.81668704606253
319,14.44444444,0.25018625,0.5818335,5.550981769,109.0907481656586
320,16.0,0.21171005,0.982654542,5.4411905,130.6106463332869
321,11.22222222,0.22961605,0.264850702,5.28675085,115.98922095861724
322,16.0,0.326198864,0.381415435,10.15909611,103.29399408400015
323,14.55555556,0.25877625,0.351896565,9.846568412,67.7071181869988
324,19.44444444,0.279643818,0.502800479,15.97592756,44.49932337875125
325,16.0,0.253327773,0.455274625,7.747116556,31.3590767142517
326,21.88888889,0.210615864,1.100916,5.563697333,17.179298867415802
327,11.875,0.230168455,0.289363667,5.710802842,12.322419891407407
328,15.85714286,0.234502333,0.695267714,2.826557333,50.79637945022623
329,32.11111111,0.239846273,0.498076568,6.3072562,56.61845641856376
330,40.2,0.302277111,0.27057965,6.635641882,97.54837848987724
331,11.21052632,0.2160233,0.332059565,7.98358355,119.78571930771227
332,11.94117647,0.24732645,0.52325854,5.401377333,116.92776209345772
333,17.77777778,0.299109684,0.8280055,7.210742053,110.19521108164471
334,9.25,0.308220833,0.392945043,9.7229625,98.68394282596827
335,22.2,0.279990227,0.49188534,7.036523,67.8911582604389
336,14.16666667,0.2589134,0.773566773,9.728513929,48.16
337,14.6,0.28060825,0.33292775,8.919459294,14.057325418134704
338,17.63636364,0.244263708,0.242069025,8.290723235,11.26
339,16.7,0.199827435,0.53687969,5.33934325,25.96
340,15.66666667,0.191810773,0.256045184,3.856236625,30.820671190000212
341,12.0,0.164355083,0.303612143,6.655237412,47.13712308618751
342,16.25,0.240374958,0.175520523,5.361742476,101.14764445769575
343,25.66666667,0.290979591,0.23965869,8.615968895,108.83689900215876
344,15.25,0.264368273,0.416453238,7.790543111,135.26388100503223
345,8.210526316,0.223500682,0.431554425,6.30140015,135.0453960856204
346,15.45,0.36851355,0.482344658,15.20957858,99.44064868941636
347,13.54545455,0.358931208,0.239974262,9.2193019,82.69247426393476
348,13.63636364,0.321254909,0.856558571,19.08076114,56.011224944192975
349,21.68421053,0.234807045,0.496627225,9.52947395,31.83045242867619
350,29.5,0.226667455,0.276161211,7.301812095,9.173314417568433
351,18.41666667,0.25259175,0.373388632,6.806908381,0.7484978878470643
352,14.16666667,0.25379585,0.430996857,7.104981158,44.69333620147047
353,16.25,0.2860126,0.563839286,6.92635285,72.92182129768965
354,17.0,0.226469294,0.474715346,4.121839722,109.2818307665094
355,15.0,0.2073615,0.440676,6.314313526,112.56
356,14.0,0.2288917,0.685256462,6.925886737,140.21511094606757
357,16.7,0.393268333,0.44852325,11.66569772,134.52344333233117
358,13.72727273,0.23131315,0.543837958,11.60350172,116.78277047097725
359,13.19047619,0.492055278,0.54017425,12.92726971,80.740045582732
360,14.76923077,0.3206146,0.598247192,12.00781805,62.15725556545863
361,23.64285714,0.29799895,0.577300692,8.878903526,30.50697708002805
362,17.8,0.3231857,0.560750077,13.22489341,34.155880216212715
363,13.38095238,0.25201945,0.3227455,3.880940105,36.93423138306812
364,19.66666667,0.31763675,0.416023654,9.093115611,43.39793188398324
365,29.26666667,0.6916911,0.716666667,10.09411963,79.08070274810869
366,18.5,0.272131,0.81276375,9.783333333,100.08360825799362
367,13.0,0.246172083,0.368473583,3.499900833,124.63068809296558
